education_key,education_id,country,iso,year,"Primary completion rate, total (% of relevant age group)","School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, male (% gross)","Primary completion rate, male (% of relevant age group)","School enrollment, primary, female (% gross)","School enrollment, secondary, female (% gross)","Public spending on education, total (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary, male (% gross)","Primary completion rate, female (% of relevant age group)"
347,132,Switzerland,CHE,2009,96.1091232299805,50.1480903625488,95.6013107299805,97.5504913330078,94.4871292114258,102.587188720703,93.5534362792969,4.89041996002197,102.834442138672,103.068092346191,97.8258209228516
348,133,Switzerland,CHE,2010,96.1956329345703,52.9377288818359,96.1102294921875,97.5099182128906,94.6448822021484,102.606979370117,94.6352691650391,4.76562976837158,102.849456787109,103.078346252441,97.8371963500977
349,134,Switzerland,CHE,2011,96.6571426391602,54.4845199584961,96.4189529418945,97.6103668212891,95.4890899658203,102.852561950684,95.1592330932617,4.815269947052,103.113922119141,103.360282897949,97.8938522338867
350,135,Switzerland,CHE,2012,97.4105072021484,55.5204696655273,96.4805221557617,97.8167724609375,96.1207962036133,103.026206970215,95.0694885253906,4.85834980010986,103.153717041016,103.274002075195,98.7757034301758
351,136,Switzerland,CHE,2013,96.8557510375977,56.270149230957,98.891357421875,100.085571289063,96.3386993408203,103.500732421875,97.6321716308594,4.8690299987793,103.60147857666,103.696617126465,97.4029922485352
352,137,Switzerland,CHE,2014,95.5764617919922,57.2297210693359,-1,-1,94.8442306518555,103.527389526367,-1,4.87779998779297,103.487426757813,103.449638366699,96.3506088256836
353,138,Switzerland,CHE,2015,95.7734680175781,57.7073516845703,101.473709106445,103.215522766113,94.5887985229492,104.033020019531,99.6399917602539,4.93844985961914,104.184196472168,104.327461242676,97.0237274169922
354,139,Switzerland,CHE,2016,96.8268737792969,58.0469512939453,102.565376281738,104.476379394531,96.0268325805664,104.258583068848,100.554092407227,4.92645978927612,104.629112243652,104.98087310791,97.6693878173828
355,140,Switzerland,CHE,2017,97.1586837768555,59.56298828125,102.487426757813,104.689788818359,95.6629333496094,104.824913024902,100.174949645996,4.9515700340271,105.19068145752,105.538177490234,98.7305297851563
356,141,Switzerland,CHE,2018,96.2100830078125,61.3774490356445,102.570678710938,105.080619812012,95.6733703613281,105.147743225098,99.9420623779297,4.86093997955322,105.476470947266,105.788772583008,96.7736206054688
357,142,Switzerland,CHE,2019,96.3617324829102,63.3080596923828,102.340782165527,105.092788696289,95.4611206054688,105.521606445313,99.4653167724609,-1,105.78727722168,106.03955078125,97.3072814941406
358,143,Switzerland,CHE,2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
