Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Start Year,Start Month,End Year,End Month,Total Deaths,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2005-0813-KEN,2005,Natural,Biological,Epidemic,Viral disease,,KEN,2005,11,2006,4,41,1600,,72.07141045
2005-0384-KEN,2005,Technological,Technological,Transport accident,Road,,KEN,2005,7,2005,7,23,20,,72.07141045
2005-0431-KEN,2005,Technological,Technological,Transport accident,Road,,KEN,2005,8,2005,8,17,4,,72.07141045
2005-0405-KEN,2005,Technological,Technological,Miscellaneous accident,Other,Poisoning,KEN,2005,6,2005,6,48,84,,72.07141045
2005-0779-KEN,2005,Technological,Technological,Miscellaneous accident,Other,Food poisoning,KEN,2005,5,2005,5,54,,,72.07141045
2005-0601-MEX,2005,Natural,Hydrological,Flood,Riverine flood,,MEX,2005,9,2005,9,3,3000,,72.07141045
2005-0382-MEX,2005,Natural,Meteorological,Storm,Tropical cyclone,Emily,MEX,2005,7,2005,7,2,,555005,72.07141045
2005-0184-MEX,2005,Technological,Technological,Transport accident,Road,,MEX,2005,4,2005,4,20,15,,72.07141045
2005-0532-MEX,2005,Technological,Technological,Miscellaneous accident,Explosion,Fireworks market,MEX,2005,9,2005,9,,104,,72.07141045
2005-0220-TCD,2005,Natural,Biological,Epidemic,Viral disease,,TCD,2005,1,2005,5,115,6000,,72.07141045
2005-0530-USA,2005,Natural,Meteorological,Storm,Convective storm,,USA,2005,8,2005,8,,201,,72.07141045
2005-0682-USA,2005,Natural,Meteorological,Storm,Convective storm,,USA,2005,12,2005,12,10,,,72.07141045
2005-0203-USA,2005,Natural,Hydrological,Flood,Riverine flood,,USA,2005,4,2005,4,2,11000,41625,72.07141045
2005-0351-USA,2005,Natural,Meteorological,Storm,Tropical cyclone,"Hurricane ""Dennis""",USA,2005,7,2005,7,5,,3094153,72.07141045
2005-0687-USA,2005,Natural,Meteorological,Extreme temperature ,Heat wave,,USA,2005,7,2005,7,33,31,,72.07141045
2005-0724-USA,2005,Natural,Climatological,Wildfire,Forest fire,,USA,2005,12,2006,1,5,1410,138751,72.07141045
2005-0700-USA,2005,Technological,Technological,Transport accident,Air,Bimoteur Grumman G-73T,USA,2005,12,2005,12,19,,,72.07141045
2005-0546-USA,2005,Technological,Technological,Transport accident,Road,,USA,2005,9,2005,9,24,17,,72.07141045
2005-0562-USA,2005,Technological,Technological,Transport accident,Water,,USA,2005,10,2005,10,21,28,,72.07141045
2005-0305-VEN,2005,Natural,Hydrological,Flood,Riverine flood,,VEN,2005,6,2005,6,5,1650,,72.07141045
2005-0397-VEN,2005,Natural,Hydrological,Flood,Riverine flood,,VEN,2005,6,2005,6,13,19105,,72.07141045
2005-0440-VEN,2005,Technological,Technological,Transport accident,Air,McDonnell Douglas MD-82,VEN,2005,8,2005,8,160,,,72.07141045
2005-0642-VEN,2005,Technological,Technological,Transport accident,Road,,VEN,2005,11,2005,11,19,,,72.07141045
2005-0643-VEN,2005,Technological,Technological,Transport accident,Road,,VEN,2005,11,2005,11,14,,,72.07141045
2005-0775-VEN,2005,Technological,Technological,Miscellaneous accident,Other,Food poisoning,VEN,2005,6,2005,6,,120,,72.07141045
2005-0705-VEN,2005,Technological,Technological,Miscellaneous accident,Fire,Fireworks and munitions shop,VEN,2005,12,2005,12,41,5,,72.07141045
2006-0180-USA,2006,Natural,Hydrological,Flood,Riverine flood,,USA,2006,4,2006,4,1,600,348135,74.39638749
2006-0182-USA,2006,Natural,Hydrological,Flood,Riverine flood,,USA,2006,3,2006,3,7,,16130,74.39638749
2006-0483-MEX,2006,Natural,Meteorological,Storm,Tropical cyclone,John,MEX,2006,9,2006,9,7,10000,,74.39638749
2006-0505-MEX,2006,Natural,Meteorological,Storm,Tropical cyclone,Lane,MEX,2006,9,2006,9,4,240700,3629,74.39638749
2006-0704-USA,2006,Natural,Geophysical,Earthquake,Ground movement,,USA,2006,10,2006,10,,3529,201623,74.39638749
2006-0341-USA,2006,Natural,Hydrological,Flood,Riverine flood,,USA,2006,6,2006,7,11,65000,1344151,74.39638749
2006-0161-USA,2006,Natural,Meteorological,Storm,Convective storm,,USA,2006,4,2006,4,28,3636,806491,74.39638749
2006-0171-USA,2006,Natural,Meteorological,Storm,Convective storm,,USA,2006,4,2006,4,12,625,2150642,74.39638749
2006-0257-USA,2006,Natural,Meteorological,Storm,Convective storm,,USA,2006,5,2006,5,1,600,604868,74.39638749
2006-0260-USA,2006,Natural,Hydrological,Flood,Riverine flood,,USA,2006,5,2006,5,2,2500,114253,74.39638749
2006-0546-USA,2006,Natural,Hydrological,Flood,Riverine flood,,USA,2006,9,2006,9,14,1210,,74.39638749
2006-0743-USA,2006,Natural,Meteorological,Storm,,,USA,2006,11,2006,12,11,,,74.39638749
2006-0604-MEX,2006,Natural,Meteorological,Storm,Tropical cyclone,Paul,MEX,2006,10,2006,10,4,20000,,74.39638749
2006-0128-USA,2006,Natural,Meteorological,Storm,Convective storm,,USA,2006,3,2006,3,10,42,1612982,74.39638749
2006-0595-USA,2006,Natural,Meteorological,Storm,Convective storm,,USA,2006,11,2006,11,12,20,127694,74.39638749
2006-0642-USA,2006,Natural,Meteorological,Storm,Convective storm,,USA,2006,10,2006,10,3,,403245,74.39638749
2006-0466-USA,2006,Natural,Meteorological,Storm,Tropical cyclone,Ernesto,USA,2006,8,2006,9,6,140,44169,74.39638749
2006-0178-KEN,2006,Natural,Hydrological,Flood,Riverine flood,,KEN,2006,4,2006,5,60,17300,,74.39638749
2006-0234-KEN,2006,Natural,Hydrological,Flood,Riverine flood,,KEN,2006,4,2006,5,8,13000,,74.39638749
2006-0587-KEN,2006,Natural,Hydrological,Flood,Riverine flood,,KEN,2006,10,2006,10,30,30000,,74.39638749
2006-0624-KEN,2006,Natural,Hydrological,Flood,Riverine flood,,KEN,2006,10,2006,12,114,723000,,74.39638749
2006-0136-KEN,2006,Natural,Biological,Epidemic,Bacterial disease,Meningococcal disease,KEN,2006,1,2006,1,15,59,,74.39638749
2006-0322-KEN,2006,Natural,Biological,Epidemic,Parasitic disease,Disentery,KEN,2006,5,2006,5,13,,,74.39638749
2006-0750-KEN,2006,Natural,Biological,Epidemic,Viral disease,Rift Valley Fever,KEN,2006,11,2007,3,155,529,,74.39638749
2006-0174-KEN,2006,Technological,Technological,Transport accident,Air,Military plane Y-12,KEN,2006,4,2006,4,14,3,,74.39638749
2006-0026-KEN,2006,Technological,Technological,Transport accident,Road,,KEN,2006,1,2006,1,15,5,,74.39638749
2006-0273-KEN,2006,Technological,Technological,Transport accident,Road,,KEN,2006,6,2006,6,29,25,,74.39638749
2006-0293-KEN,2006,Technological,Technological,Transport accident,Road,,KEN,2006,5,2006,5,13,15,,74.39638749
